location,New Delhi,New Delhi,New Delhi,New Delhi,New Delhi,New Delhi,New Delhi,New Delhi
lat,28.59986,28.59986,28.59986,28.59986,28.59986,28.59986,28.59986,28.59986
lon,77.22579,77.22579,77.22579,77.22579,77.22579,77.22579,77.22579,77.22579
asl,216.200,216.200,216.200,216.200,216.200,216.200,216.200,216.200
variable,Temperature,Mean Sea Level Pressure,Precipitation Total,Cloud Cover Total,Shortwave Radiation,Wind Speed,Wind Direction,Geopotential Height
unit,°C,hPa,mm,%,W/m²,km/h,°,Gpm
level,2 m elevation corrected,MSL,sfc,sfc,sfc,10 m,10 m,1000 mb
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None
timestamp,New Delhi Temperature [2 m elevation corrected],New Delhi Mean Sea Level Pressure [MSL],New Delhi Precipitation Total,New Delhi Cloud Cover Total,New Delhi Shortwave Radiation,New Delhi Wind Speed [10 m],New Delhi Wind Direction [10 m],New Delhi Geopotential Height [1000 mb]
20200914T1300,36.1673,1003.4,0.0,0.0,838.38,7.9036193,59.93141,24.0
20200914T1400,36.427303,1002.2,0.0,0.0,766.29,8.049845,63.43495,14.0
20200914T1500,36.3773,1001.5,0.0,10.0,616.77,7.754637,68.19859,7.0
20200914T1600,36.2373,1001.4,0.0,10.0,453.9,7.0911775,66.037506,6.0
20200914T1700,35.8273,1001.5,0.0,0.0,274.12,6.439876,63.43495,7.0
20200914T1800,35.3073,1001.8,0.0,0.0,74.76,8.209263,15.255127,10.0
20200914T1900,34.7173,1002.1,0.0,0.0,0.0,6.763786,25.201126,13.0
20200914T2000,34.0073,1002.7,0.0,0.0,0.0,5.154415,24.775131,18.0
20200914T2100,33.407303,1003.5,0.0,0.0,0.0,5.00128,30.256424,26.0
20200914T2200,32.857304,1003.7,0.0,0.0,0.0,3.319036,40.601288,28.0
20200914T2300,32.297302,1003.7,0.0,0.0,0.0,2.4149535,63.43495,28.0
20200915T0000,31.8873,1003.7,0.0,0.0,0.0,2.16,89.99999,28.0
20200915T0100,31.4973,1003.6,0.0,0.0,0.0,2.2768397,108.434944,27.0
20200915T0200,31.0773,1003.4,0.0,0.0,0.0,3.319036,130.60129,25.0
20200915T0300,30.5473,1003.0,0.0,0.0,0.0,3.096837,144.46231,22.0
20200915T0400,30.0673,1003.1,0.0,0.0,0.0,2.8116899,129.80557,23.0
20200915T0500,29.5973,1003.5,0.0,0.0,0.0,3.396233,122.00538,26.0
20200915T0600,29.3873,1003.7,0.0,0.0,7.12,5.8603754,100.61965,28.0
20200915T0700,30.3873,1004.3,0.0,0.0,153.97,5.4477882,97.59464,34.0
20200915T0800,31.8773,1004.8,0.0,0.0,361.34,7.289444,110.22486,39.0
20200915T0900,33.2873,1005.4,0.0,0.0,545.57,7.289445,122.90524,43.0
20200915T1000,34.5773,1004.7,0.0,0.0,696.87,5.6233797,129.80557,37.0
20200915T1100,35.6473,1003.7,0.0,0.0,787.64996,1.2979984,33.690063,27.0
20200915T1200,36.6673,1002.7,0.0,0.0,849.95,5.4477882,352.40536,18.0
20200915T1300,37.5373,1002.2,0.0,0.0,838.38,7.8625183,344.0546,13.0
20200915T1400,38.117302,1001.3,0.0,0.0,766.29,8.654986,343.0725,5.0
20200915T1500,38.4173,1000.4,0.0,0.0,642.58,8.654986,343.0725,-2.0
20200915T1600,38.477303,1000.2,0.0,0.0,474.37,9.107359,341.56506,-5.0
20200915T1700,38.1873,1000.3,0.0,0.0,276.79,8.557102,345.37915,-3.0
20200915T1800,37.367302,1000.6,0.0,0.0,71.2,6.2145634,10.00798,-1.0
20200915T1900,36.6973,1001.1,0.0,0.0,0.0,6.489992,56.30993,3.0
20200915T2000,35.677303,1001.8,0.0,0.0,0.0,7.208994,87.137596,9.0
20200915T2100,34.6473,1002.4,0.0,0.0,0.0,7.42159,112.83366,15.0
20200915T2200,33.657303,1002.2,0.0,0.0,0.0,7.8954163,136.84761,13.0
20200915T2300,32.817303,1002.1,0.0,0.0,0.0,8.0899935,147.72435,13.0
20200916T0000,32.1673,1002.2,0.0,0.0,0.0,8.049845,153.43495,14.0
20200916T0100,31.6473,1002.3,0.0,0.0,0.0,7.5685663,154.65382,15.0
20200916T0200,31.1073,1002.0,0.0,0.0,0.0,6.792466,147.99461,13.0
20200916T0300,30.4473,1001.8,0.0,0.0,0.0,6.638072,130.60129,11.0
20200916T0400,29.737299,1001.9,0.0,0.0,0.0,6.9247384,117.89726,12.0
20200916T0500,29.1673,1002.3,0.0,0.0,0.0,7.42159,112.83366,16.0
20200916T0600,29.5573,1002.7,0.0,0.0,6.23,2.8116899,129.80557,20.0
20200916T0700,31.0173,1003.5,0.0,0.0,151.3,3.319036,139.3987,26.0
