"Point_ID,N,9,0","Coarse,N,9,0","Clay,N,9,0","Sand,N,9,0","Silt,N,9,0","pH_CaCl2,N,24,2","pH_H20,N,24,2","EC,N,24,2","OC,N,24,2","CaCO3,N,9,0","P,N,24,2","N,N,24,2","K,N,24,2","LC,C,80","LU,C,80","NUTS_0,C,80","NUTS_1,C,80","NUTS_2,C,80","NUTS_3,C,80","LC0_Desc,C,80","LC1_Desc,C,80","LU1_Desc,C,80"
32962114,0,0,0,0,7.6,8.12,21,10.1,352,9.8,1.1,211.3,F40,U112,ES,ES4,ES41,ES417,Bareland,Other bare soil,Fallow land
32962124,16,18,42,40,6,6.23,9.69,31.4,1,5.7,2.3,193.2,C10,U420,ES,ES4,ES41,ES417,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use
32962142,0,0,0,0,7.4,8.02,16.87,8,22,15.4,1.1,162.5,B31,U111,ES,ES4,ES41,ES417,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
32962154,25,9,77,14,5.2,5.53,9.2,3.9,0,42.8,0.6,44.6,F40,U112,ES,ES4,ES41,ES417,Bareland,Other bare soil,Fallow land
32962168,6,31,31,38,7.5,8.04,12.56,12.4,171,32.4,1.3,124.7,B13,U111,ES,ES4,ES41,ES417,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
32962208,36,21,23,55,7.2,7.55,18.87,36.6,268,7.7,3.9,135.3,D20,U111,ES,ES2,ES23,ES230,Shrubland,Shrubland without tree cover,Agriculture (excluding fallow land and kitchen gardens)
32962280,0,0,0,0,7.5,8.02,16.24,9.1,334,25,1.2,220.6,F40,U112,ES,ES2,ES21,ES211,Bareland,Other bare soil,Fallow land
32962304,0,0,0,0,4.1,4.46,29.9,61.4,0,16,4.7,88,C10,U120,ES,ES2,ES21,ES211,Woodland,Broadleaved woodland,Forestry
32962898,0,0,0,0,5.1,5.35,32,27,0,43,3.1,126,E20,U111,FR,FRH,FRH0,FRH02,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
32981822,0,0,0,0,7.7,8.28,12.45,22.2,142,7.5,0.3,102.5,E30,U112,ES,ES4,ES42,ES421,Grassland,Spontaneously re-vegetated surfaces,Fallow land
32981850,0,0,0,0,7.8,8.29,29.8,16.1,436,54.1,1.4,693.3,B13,U111,ES,ES4,ES42,ES421,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
32981868,0,0,0,0,7.5,8.04,23.4,9.1,253,26.3,1.1,194.6,F40,U112,ES,ES4,ES42,ES421,Bareland,Other bare soil,Fallow land
32981912,0,0,0,0,7.4,7.94,11.67,8.3,17,24.1,0.9,284.9,B13,U111,ES,ES4,ES42,ES423,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
32982084,38,37,20,42,7.4,7.78,14.77,13.2,354,15.1,1.6,523.9,F40,U112,ES,ES4,ES41,ES417,Bareland,Other bare soil,Fallow land
