"Point_ID,N,9,0","Coarse,N,9,0","Clay,N,9,0","Sand,N,9,0","Silt,N,9,0","pH_CaCl2,N,24,2","pH_H20,N,24,2","EC,N,24,2","OC,N,24,2","CaCO3,N,9,0","P,N,24,2","N,N,24,2","K,N,24,2","LC,C,80","LU,C,80","NUTS_0,C,80","NUTS_1,C,80","NUTS_2,C,80","NUTS_3,C,80","LC0_Desc,C,80","LC1_Desc,C,80","LU1_Desc,C,80"
33202056,19,22,45,33,4.8,5.09,9.22,13.1,0,36.6,1.1,106.9,B54,U111,ES,ES4,ES42,ES424,Cropland,Mix of cereals,Agriculture (excluding fallow land and kitchen gardens)
33202070,23,12,36,53,7.4,7.69,20.4,85.2,333,11.8,6.2,338.2,D20,U420,ES,ES4,ES42,ES424,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
33202088,0,0,0,0,7.6,8.19,19.07,3.2,228,8.2,0.7,527.3,B31,U111,ES,ES2,ES24,ES243,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
33203610,45,11,42,46,4.8,4.99,96.8,72.3,1,67.8,6.5,141.9,E10,U112,UK,UKN,UKN0,UKN09,Grassland,Grassland with sparse tree/shrub cover,Fallow land
33221806,0,0,0,0,7.7,8.45,16.8,12.9,120,10.2,0.7,294,E20,U111,ES,ES4,ES42,ES421,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
33221838,0,0,0,0,7.5,8.05,24.6,5.2,471,10.7,1.4,175,B13,U111,ES,ES4,ES42,ES421,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
33221886,0,0,0,0,7.8,8.33,15.98,2.7,413,12.8,0.3,182.3,B75,U111,ES,ES4,ES42,ES421,Cropland,Other fruit trees and berries,Agriculture (excluding fallow land and kitchen gardens)
33221968,48,17,29,55,7.1,7.33,43.5,116.5,133,6,3.7,157.8,C22,U120,ES,ES4,ES42,ES423,Woodland,Pine dominated coniferous woodland,Forestry
33222040,15,25,39,37,7.5,8.05,15.72,6.7,688,20.7,1,329.2,B13,U111,ES,ES4,ES42,ES424,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
33222054,31,29,35,37,5.4,5.65,8.21,13.5,0,70.6,1.5,329.5,B11,U111,ES,ES4,ES42,ES424,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
33222058,49,16,69,15,5.2,5.68,8.39,4.4,0,60.9,0.6,112.9,B11,U111,ES,ES4,ES42,ES424,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
33222066,15,34,23,43,7.4,8.02,12.64,12.3,328,0,1.9,268.5,D20,U111,ES,ES4,ES42,ES424,Shrubland,Shrubland without tree cover,Agriculture (excluding fallow land and kitchen gardens)
33222072,22,34,21,45,7.6,8.07,15.06,5.6,730,44.7,0.8,195.7,B31,U111,ES,ES4,ES42,ES424,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
33222076,15,18,34,48,7.2,7.61,12.5,34.3,217,5.6,2.2,233.9,D10,U420,ES,ES4,ES42,ES424,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use
33222102,0,0,0,0,7.8,8.36,22.7,12.2,324,12.8,0.6,175.5,F40,U112,ES,ES2,ES24,ES243,Bareland,Other bare soil,Fallow land
33222130,31,25,42,33,7.5,7.92,16.45,16,194,14.9,1.1,329.6,B11,U111,ES,ES4,ES41,ES417,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
33222138,6,23,30,48,7.3,7.71,14.69,34.4,48,0,3.8,219.5,E20,U111,ES,ES4,ES41,ES417,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
33222144,10,16,64,19,7.6,8.05,11.18,4.6,53,28.6,0.8,185.6,B53,U111,ES,ES4,ES41,ES417,Cropland,Other Leguminous  and mixtures for fodder,Agriculture (excluding fallow land and kitchen gardens)
33222156,16,38,23,39,7.5,7.9,19.89,12.1,108,12.4,1.7,192.8,B13,U111,ES,ES4,ES41,ES417,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
33222166,34,30,29,41,7.5,7.79,34,13.6,585,32.3,1.8,158.5,B13,U111,ES,ES4,ES41,ES417,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
33222206,0,0,0,0,7.5,8.2,10.16,2.3,116,0,0.5,64.6,B74,U111,ES,ES2,ES23,ES230,Cropland,Nuts trees,Agriculture (excluding fallow land and kitchen gardens)
33222252,0,0,0,0,7.4,7.98,13.89,14.9,124,10.1,1.1,189.8,B13,U111,ES,ES2,ES22,ES220,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
33222318,0,0,0,0,6.2,6.47,21.2,17,1,5,1.8,112.3,E20,U111,ES,ES2,ES21,ES212,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
33222864,0,0,0,0,5.2,5.39,60.5,56.6,1,54.3,5.7,180.5,E20,U111,FR,FRH,FRH0,FRH04,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
33223152,4,17,21,61,5.6,5.77,121.2,67.4,0,132.9,7.4,729.4,E20,U111,UK,UKK,UKK4,UKK43,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
33241804,0,0,0,0,7.7,8.38,15.78,13,295,25,0.7,191,B82,U111,ES,ES6,ES62,ES620,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
